name,type,resolver,ttl,status,answers,error
cloudflare.com,TXT,8.8.8.8,300.0,OK,"""MS=ms70274184""; ""ZOOM_verify_7LFBvOO9SIigypFG2xRlMA""; ""_neqmkgaq1lq9it5s8qmetrhbnu121wb""; ""_saml-domain-challenge.2dc00405-79cd-457b-b288-a119c6f0c7b7.71996d53-d178-4ba9-bef4-7f7e46edab74.cloudflare.com=1c8736fd-84b2-4197-985f-3fb2852f2457""; ""apple-domain-verification=DNnWJoArJobFJKhJ""; ""asv=894f6d1f9f83bcf44e4b1bc40bc1c4aa""; ""atlassian-domain-verification=WxxKyN9aLnjEsoOjUYI6T0bb5vcqmKzaIkC9Rx2QkNb751G3LL/cus8/ZDOgh8xB""; ""canva-site-verification=oOyaVnHC-OiFoR1BPvetNA""; ""cisco-ci-domain-verification=27e926884619804ef987ae4aa1c4168f6b152ada84f4c8bfc74eb2bd2912ad72""; ""creatopy-domain-verification=97d2ca50-9b6f-4a21-9bdb-fbb630e4cec7""; ""docker-verification=c578e21c-34fb-4474-9b90-d55ee4cba10c""; ""drift-domain-verification=f037808a26ae8b25bc13b1f1f2b4c3e0f78c03e67f24cefdd4ec520efa8e719f""; ""facebook-domain-verification=h9mm6zopj6p2po54woa16m5bskm6oo""; ""google-site-verification=C7thfNeXVahkVhniiqTI1iSVnElKR_kBBtnEHkeGDlo""; ""google-site-verification=ZdlQZLBBAPkxeFTCM1rpiB_ibtGff_JF5KllNKwDR9I""; ""liveramp-site-verification=EhH1MqgwbndTWl1AN64hOTKz7hc1s80yUpchLbgpfY0""; ""logmein-verification-code=b3433c86-3823-4808-8a7e-58042469f654""; ""miro-verification=bdd7dfa0a49adfb43ad6ddfaf797633246c07356""; ""onetrust-domain-verification=bd5cd08a1e9644799fdb98ed7d60c9cb""; ""status-page-domain-verification=r14frwljwbxs""; ""stripe-verification=5096d01ff2cf194285dd51cae18f24fa9c26dc928cebac3636d462b4c6925623""; ""stripe-verification=bf1a94e6b16ace2502a4a7fff574a25c8a45291054960c883c59be39d1788db9""; ""uber-domain-verification=58086039-150a-42a4-a4be-b4032921aa0f""; ""v=spf1 ip4:199.15.212.0/22 ip4:173.245.48.0/20 include:_spf.google.com include:spf1.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com include:_spf.salesforce.com -all""",
cloudflare.com,A,9.9.9.9,194.0,OK,104.16.132.229; 104.16.133.229,
cloudflare.com,AAAA,9.9.9.9,34.0,OK,2606:4700::6810:84e5; 2606:4700::6810:85e5,
cloudflare.com,CNAME,9.9.9.9,,NODATA,,
cloudflare.com,MX,9.9.9.9,724.0,OK,10 mxa.global.inbound.cf-emailsecurity.net.; 10 mxb.global.inbound.cf-emailsecurity.net.; 5 mxa-canary.global.inbound.cf-emailsecurity.net.; 5 mxb-canary.global.inbound.cf-emailsecurity.net.,
cloudflare.com,NS,9.9.9.9,32048.0,OK,ns3.cloudflare.com.; ns4.cloudflare.com.; ns5.cloudflare.com.; ns6.cloudflare.com.; ns7.cloudflare.com.,
cloudflare.com,SOA,9.9.9.9,1.0,OK,ns3.cloudflare.com. dns.cloudflare.com. 2387738886 10000 2400 604800 300,
cloudflare.com,TXT,9.9.9.9,300.0,OK,"""MS=ms70274184""; ""ZOOM_verify_7LFBvOO9SIigypFG2xRlMA""; ""_neqmkgaq1lq9it5s8qmetrhbnu121wb""; ""_saml-domain-challenge.2dc00405-79cd-457b-b288-a119c6f0c7b7.71996d53-d178-4ba9-bef4-7f7e46edab74.cloudflare.com=1c8736fd-84b2-4197-985f-3fb2852f2457""; ""apple-domain-verification=DNnWJoArJobFJKhJ""; ""asv=894f6d1f9f83bcf44e4b1bc40bc1c4aa""; ""atlassian-domain-verification=WxxKyN9aLnjEsoOjUYI6T0bb5vcqmKzaIkC9Rx2QkNb751G3LL/cus8/ZDOgh8xB""; ""canva-site-verification=oOyaVnHC-OiFoR1BPvetNA""; ""cisco-ci-domain-verification=27e926884619804ef987ae4aa1c4168f6b152ada84f4c8bfc74eb2bd2912ad72""; ""creatopy-domain-verification=97d2ca50-9b6f-4a21-9bdb-fbb630e4cec7""; ""docker-verification=c578e21c-34fb-4474-9b90-d55ee4cba10c""; ""drift-domain-verification=f037808a26ae8b25bc13b1f1f2b4c3e0f78c03e67f24cefdd4ec520efa8e719f""; ""facebook-domain-verification=h9mm6zopj6p2po54woa16m5bskm6oo""; ""google-site-verification=C7thfNeXVahkVhniiqTI1iSVnElKR_kBBtnEHkeGDlo""; ""google-site-verification=ZdlQZLBBAPkxeFTCM1rpiB_ibtGff_JF5KllNKwDR9I""; ""liveramp-site-verification=EhH1MqgwbndTWl1AN64hOTKz7hc1s80yUpchLbgpfY0""; ""logmein-verification-code=b3433c86-3823-4808-8a7e-58042469f654""; ""miro-verification=bdd7dfa0a49adfb43ad6ddfaf797633246c07356""; ""onetrust-domain-verification=bd5cd08a1e9644799fdb98ed7d60c9cb""; ""status-page-domain-verification=r14frwljwbxs""; ""stripe-verification=5096d01ff2cf194285dd51cae18f24fa9c26dc928cebac3636d462b4c6925623""; ""stripe-verification=bf1a94e6b16ace2502a4a7fff574a25c8a45291054960c883c59be39d1788db9""; ""uber-domain-verification=58086039-150a-42a4-a4be-b4032921aa0f""; ""v=spf1 ip4:199.15.212.0/22 ip4:173.245.48.0/20 include:_spf.google.com include:spf1.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com include:_spf.salesforce.com -all""",
cloudflare.com,A,auth:ns3.cloudflare.com@162.159.0.33,300.0,OK,104.16.132.229; 104.16.133.229,
cloudflare.com,AAAA,auth:ns3.cloudflare.com@162.159.0.33,300.0,OK,2606:4700::6810:84e5; 2606:4700::6810:85e5,
cloudflare.com,CNAME,auth:ns3.cloudflare.com@162.159.0.33,,NODATA,,
cloudflare.com,MX,auth:ns3.cloudflare.com@162.159.0.33,1800.0,OK,10 mxa.global.inbound.cf-emailsecurity.net.; 10 mxb.global.inbound.cf-emailsecurity.net.; 5 mxa-canary.global.inbound.cf-emailsecurity.net.; 5 mxb-canary.global.inbound.cf-emailsecurity.net.,
cloudflare.com,NS,auth:ns3.cloudflare.com@162.159.0.33,86400.0,OK,ns3.cloudflare.com.; ns4.cloudflare.com.; ns5.cloudflare.com.; ns6.cloudflare.com.; ns7.cloudflare.com.,
cloudflare.com,SOA,auth:ns3.cloudflare.com@162.159.0.33,300.0,OK,ns3.cloudflare.com. dns.cloudflare.com. 2387738886 10000 2400 604800 300,
cloudflare.com,TXT,auth:ns3.cloudflare.com@162.159.0.33,300.0,OK,"""MS=ms70274184""; ""ZOOM_verify_7LFBvOO9SIigypFG2xRlMA""; ""_neqmkgaq1lq9it5s8qmetrhbnu121wb""; ""_saml-domain-challenge.2dc00405-79cd-457b-b288-a119c6f0c7b7.71996d53-d178-4ba9-bef4-7f7e46edab74.cloudflare.com=1c8736fd-84b2-4197-985f-3fb2852f2457""; ""apple-domain-verification=DNnWJoArJobFJKhJ""; ""asv=894f6d1f9f83bcf44e4b1bc40bc1c4aa""; ""atlassian-domain-verification=WxxKyN9aLnjEsoOjUYI6T0bb5vcqmKzaIkC9Rx2QkNb751G3LL/cus8/ZDOgh8xB""; ""canva-site-verification=oOyaVnHC-OiFoR1BPvetNA""; ""cisco-ci-domain-verification=27e926884619804ef987ae4aa1c4168f6b152ada84f4c8bfc74eb2bd2912ad72""; ""creatopy-domain-verification=97d2ca50-9b6f-4a21-9bdb-fbb630e4cec7""; ""docker-verification=c578e21c-34fb-4474-9b90-d55ee4cba10c""; ""drift-domain-verification=f037808a26ae8b25bc13b1f1f2b4c3e0f78c03e67f24cefdd4ec520efa8e719f""; ""facebook-domain-verification=h9mm6zopj6p2po54woa16m5bskm6oo""; ""google-site-verification=C7thfNeXVahkVhniiqTI1iSVnElKR_kBBtnEHkeGDlo""; ""google-site-verification=ZdlQZLBBAPkxeFTCM1rpiB_ibtGff_JF5KllNKwDR9I""; ""liveramp-site-verification=EhH1MqgwbndTWl1AN64hOTKz7hc1s80yUpchLbgpfY0""; ""logmein-verification-code=b3433c86-3823-4808-8a7e-58042469f654""; ""miro-verification=bdd7dfa0a49adfb43ad6ddfaf797633246c07356""; ""onetrust-domain-verification=bd5cd08a1e9644799fdb98ed7d60c9cb""; ""status-page-domain-verification=r14frwljwbxs""; ""stripe-verification=5096d01ff2cf194285dd51cae18f24fa9c26dc928cebac3636d462b4c6925623""; ""stripe-verification=bf1a94e6b16ace2502a4a7fff574a25c8a45291054960c883c59be39d1788db9""; ""uber-domain-verification=58086039-150a-42a4-a4be-b4032921aa0f""; ""v=spf1 ip4:199.15.212.0/22 ip4:173.245.48.0/20 include:_spf.google.com include:spf1.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com include:_spf.salesforce.com -all""",
cloudflare.com,A,auth:ns3.cloudflare.com@162.159.7.226,300.0,OK,104.16.132.229; 104.16.133.229,
cloudflare.com,AAAA,auth:ns3.cloudflare.com@162.159.7.226,300.0,OK,2606:4700::6810:84e5; 2606:4700::6810:85e5,
cloudflare.com,CNAME,auth:ns3.cloudflare.com@162.159.7.226,,NODATA,,
cloudflare.com,MX,auth:ns3.cloudflare.com@162.159.7.226,1800.0,OK,10 mxa.global.inbound.cf-emailsecurity.net.; 10 mxb.global.inbound.cf-emailsecurity.net.; 5 mxa-canary.global.inbound.cf-emailsecurity.net.; 5 mxb-canary.global.inbound.cf-emailsecurity.net.,
cloudflare.com,NS,auth:ns3.cloudflare.com@162.159.7.226,86400.0,OK,ns3.cloudflare.com.; ns4.cloudflare.com.; ns5.cloudflare.com.; ns6.cloudflare.com.; ns7.cloudflare.com.,
cloudflare.com,SOA,auth:ns3.cloudflare.com@162.159.7.226,300.0,OK,ns3.cloudflare.com. dns.cloudflare.com. 2387738886 10000 2400 604800 300,
cloudflare.com,TXT,auth:ns3.cloudflare.com@162.159.7.226,300.0,OK,"""MS=ms70274184""; ""ZOOM_verify_7LFBvOO9SIigypFG2xRlMA""; ""_neqmkgaq1lq9it5s8qmetrhbnu121wb""; ""_saml-domain-challenge.2dc00405-79cd-457b-b288-a119c6f0c7b7.71996d53-d178-4ba9-bef4-7f7e46edab74.cloudflare.com=1c8736fd-84b2-4197-985f-3fb2852f2457""; ""apple-domain-verification=DNnWJoArJobFJKhJ""; ""asv=894f6d1f9f83bcf44e4b1bc40bc1c4aa""; ""atlassian-domain-verification=WxxKyN9aLnjEsoOjUYI6T0bb5vcqmKzaIkC9Rx2QkNb751G3LL/cus8/ZDOgh8xB""; ""canva-site-verification=oOyaVnHC-OiFoR1BPvetNA""; ""cisco-ci-domain-verification=27e926884619804ef987ae4aa1c4168f6b152ada84f4c8bfc74eb2bd2912ad72""; ""creatopy-domain-verification=97d2ca50-9b6f-4a21-9bdb-fbb630e4cec7""; ""docker-verification=c578e21c-34fb-4474-9b90-d55ee4cba10c""; ""drift-domain-verification=f037808a26ae8b25bc13b1f1f2b4c3e0f78c03e67f24cefdd4ec520efa8e719f""; ""facebook-domain-verification=h9mm6zopj6p2po54woa16m5bskm6oo""; ""google-site-verification=C7thfNeXVahkVhniiqTI1iSVnElKR_kBBtnEHkeGDlo""; ""google-site-verification=ZdlQZLBBAPkxeFTCM1rpiB_ibtGff_JF5KllNKwDR9I""; ""liveramp-site-verification=EhH1MqgwbndTWl1AN64hOTKz7hc1s80yUpchLbgpfY0""; ""logmein-verification-code=b3433c86-3823-4808-8a7e-58042469f654""; ""miro-verification=bdd7dfa0a49adfb43ad6ddfaf797633246c07356""; ""onetrust-domain-verification=bd5cd08a1e9644799fdb98ed7d60c9cb""; ""status-page-domain-verification=r14frwljwbxs""; ""stripe-verification=5096d01ff2cf194285dd51cae18f24fa9c26dc928cebac3636d462b4c6925623""; ""stripe-verification=bf1a94e6b16ace2502a4a7fff574a25c8a45291054960c883c59be39d1788db9""; ""uber-domain-verification=58086039-150a-42a4-a4be-b4032921aa0f""; ""v=spf1 ip4:199.15.212.0/22 ip4:173.245.48.0/20 include:_spf.google.com include:spf1.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com include:_spf.salesforce.com -all""",
cloudflare.com,A,auth:ns3.cloudflare.com@2400:cb00:2049:1::a29f:21,300.0,OK,104.16.132.229; 104.16.133.229,
cloudflare.com,AAAA,auth:ns3.cloudflare.com@2400:cb00:2049:1::a29f:21,300.0,OK,2606:4700::6810:84e5; 2606:4700::6810:85e5,
cloudflare.com,CNAME,auth:ns3.cloudflare.com@2400:cb00:2049:1::a29f:21,,NODATA,,
cloudflare.com,MX,auth:ns3.cloudflare.com@2400:cb00:2049:1::a29f:21,1800.0,OK,10 mxa.global.inbound.cf-emailsecurity.net.; 10 mxb.global.inbound.cf-emailsecurity.net.; 5 mxa-canary.global.inbound.cf-emailsecurity.net.; 5 mxb-canary.global.inbound.cf-emailsecurity.net.,
cloudflare.com,NS,auth:ns3.cloudflare.com@2400:cb00:2049:1::a29f:21,86400.0,OK,ns3.cloudflare.com.; ns4.cloudflare.com.; ns5.cloudflare.com.; ns6.cloudflare.com.; ns7.cloudflare.com.,
cloudflare.com,SOA,auth:ns3.cloudflare.com@2400:cb00:2049:1::a29f:21,300.0,OK,ns3.cloudflare.com. dns.cloudflare.com. 2387738886 10000 2400 604800 300,
cloudflare.com,TXT,auth:ns3.cloudflare.com@2400:cb00:2049:1::a29f:21,300.0,OK,"""MS=ms70274184""; ""ZOOM_verify_7LFBvOO9SIigypFG2xRlMA""; ""_neqmkgaq1lq9it5s8qmetrhbnu121wb""; ""_saml-domain-challenge.2dc00405-79cd-457b-b288-a119c6f0c7b7.71996d53-d178-4ba9-bef4-7f7e46edab74.cloudflare.com=1c8736fd-84b2-4197-985f-3fb2852f2457""; ""apple-domain-verification=DNnWJoArJobFJKhJ""; ""asv=894f6d1f9f83bcf44e4b1bc40bc1c4aa""; ""atlassian-domain-verification=WxxKyN9aLnjEsoOjUYI6T0bb5vcqmKzaIkC9Rx2QkNb751G3LL/cus8/ZDOgh8xB""; ""canva-site-verification=oOyaVnHC-OiFoR1BPvetNA""; ""cisco-ci-domain-verification=27e926884619804ef987ae4aa1c4168f6b152ada84f4c8bfc74eb2bd2912ad72""; ""creatopy-domain-verification=97d2ca50-9b6f-4a21-9bdb-fbb630e4cec7""; ""docker-verification=c578e21c-34fb-4474-9b90-d55ee4cba10c""; ""drift-domain-verification=f037808a26ae8b25bc13b1f1f2b4c3e0f78c03e67f24cefdd4ec520efa8e719f""; ""facebook-domain-verification=h9mm6zopj6p2po54woa16m5bskm6oo""; ""google-site-verification=C7thfNeXVahkVhniiqTI1iSVnElKR_kBBtnEHkeGDlo""; ""google-site-verification=ZdlQZLBBAPkxeFTCM1rpiB_ibtGff_JF5KllNKwDR9I""; ""liveramp-site-verification=EhH1MqgwbndTWl1AN64hOTKz7hc1s80yUpchLbgpfY0""; ""logmein-verification-code=b3433c86-3823-4808-8a7e-58042469f654""; ""miro-verification=bdd7dfa0a49adfb43ad6ddfaf797633246c07356""; ""onetrust-domain-verification=bd5cd08a1e9644799fdb98ed7d60c9cb""; ""status-page-domain-verification=r14frwljwbxs""; ""stripe-verification=5096d01ff2cf194285dd51cae18f24fa9c26dc928cebac3636d462b4c6925623""; ""stripe-verification=bf1a94e6b16ace2502a4a7fff574a25c8a45291054960c883c59be39d1788db9""; ""uber-domain-verification=58086039-150a-42a4-a4be-b4032921aa0f""; ""v=spf1 ip4:199.15.212.0/22 ip4:173.245.48.0/20 include:_spf.google.com include:spf1.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com include:_spf.salesforce.com -all""",
cloudflare.com,A,auth:ns3.cloudflare.com@2400:cb00:2049:1::a29f:7e2,300.0,OK,104.16.132.229; 104.16.133.229,
cloudflare.com,AAAA,auth:ns3.cloudflare.com@2400:cb00:2049:1::a29f:7e2,300.0,OK,2606:4700::6810:84e5; 2606:4700::6810:85e5,
cloudflare.com,CNAME,auth:ns3.cloudflare.com@2400:cb00:2049:1::a29f:7e2,,NODATA,,
cloudflare.com,MX,auth:ns3.cloudflare.com@2400:cb00:2049:1::a29f:7e2,1800.0,OK,10 mxa.global.inbound.cf-emailsecurity.net.; 10 mxb.global.inbound.cf-emailsecurity.net.; 5 mxa-canary.global.inbound.cf-emailsecurity.net.; 5 mxb-canary.global.inbound.cf-emailsecurity.net.,
cloudflare.com,NS,auth:ns3.cloudflare.com@2400:cb00:2049:1::a29f:7e2,86400.0,OK,ns3.cloudflare.com.; ns4.cloudflare.com.; ns5.cloudflare.com.; ns6.cloudflare.com.; ns7.cloudflare.com.,
cloudflare.com,SOA,auth:ns3.cloudflare.com@2400:cb00:2049:1::a29f:7e2,300.0,OK,ns3.cloudflare.com. dns.cloudflare.com. 2387738886 10000 2400 604800 300,
cloudflare.com,TXT,auth:ns3.cloudflare.com@2400:cb00:2049:1::a29f:7e2,300.0,OK,"""MS=ms70274184""; ""ZOOM_verify_7LFBvOO9SIigypFG2xRlMA""; ""_neqmkgaq1lq9it5s8qmetrhbnu121wb""; ""_saml-domain-challenge.2dc00405-79cd-457b-b288-a119c6f0c7b7.71996d53-d178-4ba9-bef4-7f7e46edab74.cloudflare.com=1c8736fd-84b2-4197-985f-3fb2852f2457""; ""apple-domain-verification=DNnWJoArJobFJKhJ""; ""asv=894f6d1f9f83bcf44e4b1bc40bc1c4aa""; ""atlassian-domain-verification=WxxKyN9aLnjEsoOjUYI6T0bb5vcqmKzaIkC9Rx2QkNb751G3LL/cus8/ZDOgh8xB""; ""canva-site-verification=oOyaVnHC-OiFoR1BPvetNA""; ""cisco-ci-domain-verification=27e926884619804ef987ae4aa1c4168f6b152ada84f4c8bfc74eb2bd2912ad72""; ""creatopy-domain-verification=97d2ca50-9b6f-4a21-9bdb-fbb630e4cec7""; ""docker-verification=c578e21c-34fb-4474-9b90-d55ee4cba10c""; ""drift-domain-verification=f037808a26ae8b25bc13b1f1f2b4c3e0f78c03e67f24cefdd4ec520efa8e719f""; ""facebook-domain-verification=h9mm6zopj6p2po54woa16m5bskm6oo""; ""google-site-verification=C7thfNeXVahkVhniiqTI1iSVnElKR_kBBtnEHkeGDlo""; ""google-site-verification=ZdlQZLBBAPkxeFTCM1rpiB_ibtGff_JF5KllNKwDR9I""; ""liveramp-site-verification=EhH1MqgwbndTWl1AN64hOTKz7hc1s80yUpchLbgpfY0""; ""logmein-verification-code=b3433c86-3823-4808-8a7e-58042469f654""; ""miro-verification=bdd7dfa0a49adfb43ad6ddfaf797633246c07356""; ""onetrust-domain-verification=bd5cd08a1e9644799fdb98ed7d60c9cb""; ""status-page-domain-verification=r14frwljwbxs""; ""stripe-verification=5096d01ff2cf194285dd51cae18f24fa9c26dc928cebac3636d462b4c6925623""; ""stripe-verification=bf1a94e6b16ace2502a4a7fff574a25c8a45291054960c883c59be39d1788db9""; ""uber-domain-verification=58086039-150a-42a4-a4be-b4032921aa0f""; ""v=spf1 ip4:199.15.212.0/22 ip4:173.245.48.0/20 include:_spf.google.com include:spf1.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com include:_spf.salesforce.com -all""",
cloudflare.com,A,auth:ns4.cloudflare.com@162.159.1.33,300.0,OK,104.16.132.229; 104.16.133.229,
cloudflare.com,AAAA,auth:ns4.cloudflare.com@162.159.1.33,300.0,OK,2606:4700::6810:84e5; 2606:4700::6810:85e5,
cloudflare.com,CNAME,auth:ns4.cloudflare.com@162.159.1.33,,NODATA,,
cloudflare.com,MX,auth:ns4.cloudflare.com@162.159.1.33,1800.0,OK,10 mxa.global.inbound.cf-emailsecurity.net.; 10 mxb.global.inbound.cf-emailsecurity.net.; 5 mxa-canary.global.inbound.cf-emailsecurity.net.; 5 mxb-canary.global.inbound.cf-emailsecurity.net.,
cloudflare.com,NS,auth:ns4.cloudflare.com@162.159.1.33,86400.0,OK,ns3.cloudflare.com.; ns4.cloudflare.com.; ns5.cloudflare.com.; ns6.cloudflare.com.; ns7.cloudflare.com.,
cloudflare.com,SOA,auth:ns4.cloudflare.com@162.159.1.33,300.0,OK,ns3.cloudflare.com. dns.cloudflare.com. 2387738886 10000 2400 604800 300,
cloudflare.com,TXT,auth:ns4.cloudflare.com@162.159.1.33,300.0,OK,"""MS=ms70274184""; ""ZOOM_verify_7LFBvOO9SIigypFG2xRlMA""; ""_neqmkgaq1lq9it5s8qmetrhbnu121wb""; ""_saml-domain-challenge.2dc00405-79cd-457b-b288-a119c6f0c7b7.71996d53-d178-4ba9-bef4-7f7e46edab74.cloudflare.com=1c8736fd-84b2-4197-985f-3fb2852f2457""; ""apple-domain-verification=DNnWJoArJobFJKhJ""; ""asv=894f6d1f9f83bcf44e4b1bc40bc1c4aa""; ""atlassian-domain-verification=WxxKyN9aLnjEsoOjUYI6T0bb5vcqmKzaIkC9Rx2QkNb751G3LL/cus8/ZDOgh8xB""; ""canva-site-verification=oOyaVnHC-OiFoR1BPvetNA""; ""cisco-ci-domain-verification=27e926884619804ef987ae4aa1c4168f6b152ada84f4c8bfc74eb2bd2912ad72""; ""creatopy-domain-verification=97d2ca50-9b6f-4a21-9bdb-fbb630e4cec7""; ""docker-verification=c578e21c-34fb-4474-9b90-d55ee4cba10c""; ""drift-domain-verification=f037808a26ae8b25bc13b1f1f2b4c3e0f78c03e67f24cefdd4ec520efa8e719f""; ""facebook-domain-verification=h9mm6zopj6p2po54woa16m5bskm6oo""; ""google-site-verification=C7thfNeXVahkVhniiqTI1iSVnElKR_kBBtnEHkeGDlo""; ""google-site-verification=ZdlQZLBBAPkxeFTCM1rpiB_ibtGff_JF5KllNKwDR9I""; ""liveramp-site-verification=EhH1MqgwbndTWl1AN64hOTKz7hc1s80yUpchLbgpfY0""; ""logmein-verification-code=b3433c86-3823-4808-8a7e-58042469f654""; ""miro-verification=bdd7dfa0a49adfb43ad6ddfaf797633246c07356""; ""onetrust-domain-verification=bd5cd08a1e9644799fdb98ed7d60c9cb""; ""status-page-domain-verification=r14frwljwbxs""; ""stripe-verification=5096d01ff2cf194285dd51cae18f24fa9c26dc928cebac3636d462b4c6925623""; ""stripe-verification=bf1a94e6b16ace2502a4a7fff574a25c8a45291054960c883c59be39d1788db9""; ""uber-domain-verification=58086039-150a-42a4-a4be-b4032921aa0f""; ""v=spf1 ip4:199.15.212.0/22 ip4:173.245.48.0/20 include:_spf.google.com include:spf1.mcsv.net include:spf.mandrillapp.com include:mail.zendesk.com include:stspg-customer.com include:_spf.salesforce.com -all""",
cloudflare.com,A,auth:ns4.cloudflare.com@162.159.8.55,300.0,OK,104.16.132.229; 104.16.133.229,
cloudflare.com,AAAA,auth:ns4.cloudflare.com@162.159.8.55,300.0,OK,2606:4700::6810:84e5; 2606:4700::6810:85e5,
cloudflare.com,CNAME,auth:ns4.cloudflare.com@162.159.8.55,,NODATA,,
cloudflare.com,MX,auth:ns4.cloudflare.com@162.159.8.55,1800.0,OK,10 mxa.global.inbound.cf-emailsecurity.net.; 10 mxb.global.inbound.cf-emailsecurity.net.; 5 mxa-canary.global.inbound.cf-emailsecurity.net.; 5 mxb-canary.global.inbound.cf-emailsecurity.net.,
cloudflare.com,NS,auth:ns4.cloudflare.com@162.159.8.55,86400.0,OK,ns3.cloudflare.com.; ns4.cloudflare.com.; ns5.cloudflare.com.; ns6.cloudflare.com.; ns7.cloudflare.com.,
cloudflare.com,SOA,auth:ns4.cloudflare.com@162.159.8.55,300.0,OK,ns3.cloudflare.com. dns.cloudflare.com. 2387738886 10000 2400 604800 300,
